lat,lon,temp2m,tmpc,mcap,mcap size
40,-77,45,7,10,Small
40,-76,45,7,10,Small
40,-75,45,7,10,Small
40,-74,48,9,11,Small
40,-73,55,13,15,Medium
40,-72,58,14,16,Medium
40,-71,60,16,18,Medium
41,-77,41,5,9,Small
41,-76,41,5,9,Small
41,-75,41,5,9,Small
41,-74,43,6,10,Small
41,-73,50,10,13,Small
41,-72,55,13,15,Medium
41,-71,58,14,16,Medium
42,-77,39,4,8,Small
42,-76,38,3,8,Small
42,-75,38,3,8,Small
42,-74,40,4,8,Small
42,-73,46,8,10,Small
42,-72,49,10,12,Small
42,-71,53,12,14,Small
43,-77,40,4,8,Small
43,-76,38,3,8,Small
43,-75,37,3,7,Small
43,-74,38,3,8,Small
43,-73,42,6,9,Small
43,-72,45,7,10,Small
43,-71,49,9,12,Small
44,-77,37,3,7,Small
44,-76,37,3,7,Small
44,-75,35,2,7,Small
44,-74,35,2,7,Small
44,-73,38,3,8,Small
44,-72,38,3,8,Small
44,-71,39,4,8,Small
45,-77,34,1,7,Small
45,-76,35,2,7,Small
45,-75,35,1,7,Small
45,-74,35,2,7,Small
45,-73,37,3,8,Small
45,-72,36,2,7,Small
45,-71,36,2,7,Small
46,-77,31,-1,6,Small
46,-76,31,0,6,Small
46,-75,32,0,6,Small
46,-74,33,1,6,Small
46,-73,37,3,7,Small
46,-72,36,2,7,Small
46,-71,35,1,7,Small
